country,population_size
Afghanistan,32758020
Albania,2889104
Algeria,39113313
American Samoa,55437
Andorra,79223
Angola,26920466
Antigua and Barbuda,98875
Argentina,42981515
Armenia,2906220
Aruba,103795
Australia,23460694
Austria,8541575
Azerbaijan,9535079
Bahamas,382169
Bahrain,1336397
Bangladesh,159405279
Barbados,283385
Belarus,9474511
Belgium,11209057
Belize,351694
Benin,10286712
Bermuda,65139
Bhutan,776448
Bolivia,10562159
Bosnia and Herzegovina,3566002
Botswana,2168573
Brazil,204213133
British Virgin Islands,29588
Brunei Darussalam,411704
Bulgaria,7223938
Burkina Faso,17585977
Burundi,9891790
Cabo Verde,526437
Cambodia,15270790
Cameroon,22239904
Canada,35544564
Cayman Islands,59172
Central African Republic,4515392
Chad,13569438
Channel Islands,162969
Chile,17613798
China,1364270000
Colombia,47791911
Comoros,759385
Congo,73722860
Costa Rica,4757575
Cote d'Ivoire,22531350
Croatia,4238389
Cuba,11439767
Curacao,155909
Cyprus,1152309
Czech Republic,10525347
Denmark,5643475
Djibouti,912164
Dominica,72778
Dominican Republic,10405844
Ecuador,15903112
Egypt,91812566
El Salvador,6281189
Equatorial Guinea,1129424
Estonia,1314545
Ethiopia,97366774
Faroe Islands,48842
Fiji,885806
Finland,5461512
France,66331957
French Polynesia,275484
Gabon,1875713
Gambia,1917852
Georgia,3727000
Germany,80982500
Ghana,26962563
Gibraltar,34038
Greece,10892413
Greenland,56295
Grenada,106360
Guam,160967
Guatemala,15923559
Guinea,11805509
Guinea-Bissau,1725744
Guyana,763393
Haiti,10572466
Honduras,8809216
Hong Kong SAR,7241700
Hungary,9866468
Iceland,327386
India,1293859294
Indonesia,255131116
Iran,78411092
Iraq,35006080
Ireland,4617225
Isle of Man,82590
Israel,8215700
Italy,60789140
Jamaica,2862087
Japan,127276000
Jordan,8809306
Kazakhstan,17289224
Kenya,46024250
Kiribati,110458
North Korea,25116363
South Korea,50746659
Kosovo,1821800
Kuwait,3782450
Kyrgyz Republic,5835500
Lao PDR,6576397
Latvia,1993782
Lebanon,5603279
Lesotho,2145785
Liberia,4390737
Libya,6204108
Liechtenstein,37127
Lithuania,2932367
Luxembourg,556319
Macao SAR,588781
Macedonia,2077495
Madagascar,23589801
Malawi,17068838
Malaysia,30228017
Maldives,401000
Mali,16962846
Malta,427364
Marshall Islands,52898
Mauritania,4063920
Mauritius,1260934
Mexico,124221600
Micronesia,104015
Moldova,3556397
Monaco,38132
Mongolia,2923896
Montenegro,621810
Morocco,34318082
Mozambique,27212382
Myanmar,51924182
Namibia,2370992
Nauru,11853
Nepal,28323241
Netherlands,16865008
New Caledonia,268000
New Zealand,4509700
Nicaragua,6013997
Niger,19148219
Nigeria,176460502
Northern Mariana Islands,54468
Norway,5137232
Oman,3960925
Pakistan,185546257
Palau,21094
Panama,3903986
Papua New Guinea,7755785
Paraguay,6552584
Peru,30973354
Philippines,100102249
Poland,38011735
Portugal,10401062
Puerto Rico,3534874
Qatar,2374419
Romania,19908979
Russian Federation,143819666
Rwanda,11345357
Samoa,192290
San Marino,32657
Sao Tome and Principe,191266
Saudi Arabia,30776722
Senegal,14546111
Serbia,7130576
Seychelles,91359
Sierra Leone,7079162
Singapore,5469724
Sint Maarten (Dutch part),37685
Slovak Republic,5418649
Slovenia,2061980
Solomon Islands,575504
Somalia,13513125
South Africa,54146734
South Sudan,11530971
Spain,46480882
Sri Lanka,20771000
St. Kitts and Nevis,53739
St. Lucia,176421
St. Martin (French part),31530
St. Vincent and the Grenadines,109357
Sudan,37737913
Suriname,547928
Swaziland,1295097
Sweden,9696110
Switzerland,8188649
Syrian Arab Republic,19203090
Tajikistan,8362745
Tanzania,52234869
Thailand,68416772
Timor-Leste,1212814
Togo,7228915
Tonga,105782
Trinidad and Tobago,1354493
Tunisia,11143908
Turkey,77030628
Turkmenistan,5466241
Turks and Caicos Islands,33739
Tuvalu,10908
Uganda,38833338
Ukraine,45271947
United Arab Emirates,9070867
United Kingdom,64613160
United States,318563456
Uruguay,3419546
Uzbekistan,30757700
Vanuatu,258850
Venezuela,30738378
Vietnam,90728900
Virgin Islands (U.S.),104170
West Bank and Gaza,4294682
Yemen,26246327
Zambia,15620974
Zimbabwe,15411675
